ID：亵渎电影			评论 张艺谋已死！
        ID：内陆飞鱼			评论 《三枪拍案惊奇》之后老谋子豆瓣低分电影，得谋子得票房，得景甜得评分，军功章有你的一半也有我的一半。魔镜魔镜告诉我，景甜到底要什么？MIRROR MIRROR ON THE WALL，WHO'S THE FAIREST OF THEM ALL；魔镜魔镜告诉我，谋子到底要什么？MIRROR MIRROR ON THE WALL，WHO'S THE UGLIEST OF THEM ALL.
        ID：蒜 | BOY A✎			评论 只是一部国师重新证明自己票房实力的作品，好莱坞班底，全明星阵容，九十分钟片长，都是刷新票房纪录的保障。唯一让国师体现实力的就是对视觉场面的把控，城墙的五军作战，漫天的孔明灯，汴梁城沦陷，以及片头万众期待的饕餮大军重现“圣盔谷之战”，其他的都不值一提。
        ID：刘小黛			评论 东方版魔兽世界，守卫家园，勇者之战。依旧场面宏大主旋律，人物内心转变几乎无动机可言，为红颜而战，和导演对画风的执著一样简单形式化。鹿晗近几年一直是悲情小受的路线设置，看女主笑特别尴尬。几千年过去了，国外对中国守旧的念想还是停留在四大发明——火药。
        ID：衮雪			评论 12/28…某报说豆瓣恶意评低分的，睁眼说瞎话！看豆瓣这几年高分国产电影，哪一部不是分数虚高？只要国产片勉强及格，大家都是以一种吃了这么多年屎终于吃到窝头的心态甘当自来水！无奈国产片自己不争气，结果现在国内观众不仅得不到应有的尊重，反而怪他们吃屎的时候没有说好吃！负分滚出，豆瓣挺住！
        ID：m89			评论 景甜退散。心疼国师和乐视三十秒。张艺谋内心深处一定早就知道这次又扑街了，他的那些文学策划不会看不出鬼佬编剧写的剧本十分蹩脚可笑，所以某些花花绿绿的镜头竟隐隐透出一丝无力感，算是一种无声反抗吗?
        ID：王大根			评论 虽然人海战术一股子奥运会开幕式彩排既视感，片子的中国味也不会比一部《功夫熊猫》更多，但也确实是不可否认的所谓“大片”了。可是归根结底怎么说呢……面对景甜，诸神都无能为力……
        ID：十七只猫和鱼			评论 最大的问题是没有反派，八达岭动物园事件一亿美元版
        ID：CyberKnight电子骑士			评论 恭喜张艺谋导演！挟金狮金熊功力，成功跻身好莱坞二流怪兽大片导演之列！电影紧张有序，按五个方队，六个阶段展示了我文明古国的长城、响箭、孔明灯、鼓乐队、火药等神器，场面壮观，气氛热烈，四夷宾服！特效和场景真热闹很花钱，堪称人山兽海的一场视觉兽宴！（没错字）
        ID：丁小云			评论 呃，一群外国编剧编出来的《长城》这个故事的水平和很多爸爸妈妈给三岁小孩随口编的睡前故事有一拼……
        ID：胤祥			评论 做了这么大一个局就为了捧一个景甜……还是蛮拼的嘛，套「安德的游戏」虫族设定的梗，要说的无非也就是所谓异族异种的问题。对比「十三钗」这次好歹中国这边有了行动者的主体位置（然而依然没有视点权），终于是“帮助”“合作”和“信任”而非“拯救”的结构。这么看来，电影的事实远比影片本身要有趣
        ID：周冲			评论 景甜到底什么后台？
        ID：獨孤島主			评论 一个国家的电影文化谱系曾经的代表人物，亦是而今工业体系中站在最顶端的一位，成为了比二十年前评论声音所说的还主动一万倍的自我奇观化的掌门人，真是天命所归。
        ID：博			评论 我带着全家贡献了4张imax票。本来是可以打2或者3星的。但是打几颗星也要你管啊？
        ID：字母君			评论 老谋子的五色战队搭上了五个好莱坞编剧弄出的三流剧本，可以说是他进军好莱坞的一次练手。不谈别的，至少是向世界再一次证明了他驾驭华丽大场面的能力。以后会怎样，依然值得期待。剧本嘛，是比较难吐槽的那种差。黄轩和彭于晏两个角色虽说是配角，但也不至于小到讲了一半会被写（剪？）丢的程度吧？
        ID：于夕			评论 要有容得下一星的肚量！
        ID：一匹马赛克			评论 不卖惨卖穷，不自我贬低，不要曲意逢迎。用中国的方式来讲故事，用中国的元素营造氛围。目前为止最成功的一次合拍片，也把中国元素结合的最好。中国电影想要进步，最大的问题不在体制也不在导演制片身上，关键在于观众的水平，不能说长城拍的多好，但是完成度和水准还是上乘，而且意义非凡。
        ID：慕容复			评论 一言以蔽之：一部尚可的爆米花电影，配了一个不好看又面瘫的女主角，得了这么个评分也还算正常。友邻里有人说因为张艺谋的电影所以原本很期待的，我觉得这话太扯淡了——张导近20年来拍的大制作都这屌样，有期待的人才是缺心眼吧？
        ID：童叟无欺熊爷爷			评论 这么多年打过一星的电影寥寥无几，这部必须抵制一下。
        ID：柒之曜			评论 输入中国文化？明明是丢人现眼！本来东方文化代表都成了日本了，奈何国内这帮暴发户努力丢人现眼到全世界！
张艺谋疯了，这是要晚节不保！另：被强大的水军震惊了，随便搜下居然8.2高分！最后：这群参演这部戏的请不要叫演员了，出台个禁止名单吧，真心可怕！
果然只有主题曲是靠谱的
        ID：樱桃炸弹			评论 因为拍的烂，还不让说烂，对国产电影最后一点期待都没有了。
        ID：卓卓			评论 一星都多了。
        ID：风间隼			评论 商业电影是集体劳动的结晶。拉曼的配乐、威塔设计的怪兽、工业光魔的特效都是不应抹煞的亮点。英语台词也达到了好莱坞平均水平。属于张艺谋的则是大红大绿、戏曲舞台感、玻璃彩画和团体操……所有让人反胃的一切。当然，说到底这还是个景甜电影，张艺谋头一回不拍偷汉子了，就是明证。
        ID：锐利修蕊			评论 本片常用标签“灵异”其实是说得通的。习惯于父权奴役的整齐划一（我相信又有一些人过好些年讲导演有多会用色彩，这部终于用了彩虹色）。被母系世界（饕餮）攻击：塞外鲜肉明星全阵亡。张艺谋撑同志，反歧视。花费好几年讲了一个外邦基情蛮荒故事，于是你就懂得唯一女主角那张性冷淡的脸有多严丝合缝。
        ID：愚蠢的他爸爸			评论 对的，我就是那种欣赏不了这种国产片的刁民
        ID：twotwo			评论 本来打的2星，现在改为1星，希望上层傻逼们多年后仍能想起2016年12月28日被豆瓣网友齐心臭骂的恐惧。
        ID：厄庇墨透斯			评论 没那么差劲。剧本是老外写的故事基本能说圆。老谋子的炫耀也狠明显——你西远远落后于我东。饕餮脑纹漂亮有雷达并联网。猪皮轰炸机也好但高空应增加防护。文戏还是呆萌基友部分好些，惜无影三将没来得及刻画。时长应两小时，高潮太仓促。本来四星，为拉分给老谋子五星——我还就爱北奥开幕式这口了。
        ID：汽车大师			评论 China porn
        ID：谢谢你们的鱼			评论 张艺谋的视觉元素+爱德华兹威克的文本碰撞出了微妙的化学效应，不过确实比较像一个发生在中国平行世界的故事。影片在动作戏上的设计非常惊人，两场饕餮攻打长城的场面可看性极强，不过结尾30分钟还是有一种突然预算掉线的感觉。景甜在本片中的表现可以让那些看扁她的人闭嘴了。
        ID：杜边生			评论 今天阿姨带我去看了这部张艺谋导演的《长城》。我很喜欢张艺谋导演的《英雄》，所以我很期待这部张艺谋导演的新片《长城》。影片里有很多打仗的场面，还有一个外国人，他射箭像妈妈给我讲的后羿那样厉害。还有一个大姐姐，她会说外国话。他���一起打败了好多像野狗一样凶猛的怪兽。谢谢阿姨请我看电影。
        ID：拙			评论 近十年看过的最二逼的怪兽片
        ID：山人			评论 我是故意专门来评一分的嗯嗯
        ID：what'swilliam			评论 3.3星。1.老谋子拿出拍奥运开幕式的场面在拍这部好莱坞爆米花。砸钱到位场面还不错。2.景甜绝对地位第一女主角。3.谁说景甜演技差的？对比看看某鲜肉，鲜肉简直开口跪。4.群星打酱油，情节推动基本靠编，配角个性几乎为0，导致角色牺牲时催泪效果大减。5.景甜开口说英文全场大笑。6.几场大战毫无章法。
        ID：LOOK.			评论 实在太土鳖，最没劲的是张艺谋居然把宋朝又拍成了秦朝
        ID：吴松张			评论 站个队，国师发挥挺好的，这部电影黑的有点过了。个人觉得提前拍出了冰火里凛冬将至的画面感，特效和配乐都加分项。景甜确实减分，通过设定拔高人物，无形中放大了演技的缺陷，但没必要跟风黑。
        ID：妖灵妖			评论 “齐放”
        ID：迦南Canaan			评论 片子就像电影里的饕餮一样，就是中美商业运作后杂交的畜牲。张艺谋努力的把自己所谓的中国元素拼贴然后糊一脸美国五彩斑斓的屎，自己还觉得很香。视觉效果还成，除了开头的动画片开场。希望大家观看时自备速效救心丸～
        ID：琦殿			评论 刘德华皱着眉 景甜瞪着眼 王俊凯小朋友说 哇塞！
        ID：容妈			评论 一星，不能再多。
        ID：梦田			评论 就打一星~咋滴~
        ID：拖X			评论 奔着赚钱去的片子，却用了如此笨的玩法。钱没赚到，片子也不行，失败中的失败。最后还要怪评分，十分下流。
        ID：不良生			评论 不到长城非好汉，不料《长城》真好烂。大片的门一入深似海，从此质朴的老谋子是路人。
        ID：蜉蝣大海			评论 前半段看过2008北京奥运会的可以不用看了，后半段看过任何一部怪兽电影的人也不用看了。留给中国队的时间又不多了。
        ID：艾晨			评论 老谋子进步了，他不但会用人海战术，还解锁了兽海战术。明星很多，都很努力地给景甜打酱油。当然不能怪景甜，毕竟那样一个勒得奶疼的造型，换我我也把持不住。更没必要黑呆蒙，这已经是呆蒙被黑得最惨的一次了，因为他被火药炸了。
PS：饕餮发信号的时候，我总是走神想到天线宝宝。
        ID：歌無岸			评论 全片最精彩的地方是电影开始前IMAX的技术宣传片。说到电影，咱得说景甜的钱是花到位了。老谋子很卖力的为景甜做了一顿猪肉炖粉条子，并雇个外国人不远万里的来陪吃。
        ID：小胡子			评论 人民币破7长城破5
        ID：鸭蛋超人			评论 用了这么多年豆瓣，只给FM充过几十块钱，很羞愧。
        ID：2LokiQian			评论 至少我觉得烂到爆炸。。。要不是不可描述的组织要求去看是绝对不会去看的，毫无逻辑的剧情和僵硬的表演，一星给奥运会开幕式，一星给面部生动的外国演员和饕餮们
        ID：黑鸟			评论 特来赞助
        ID：张天翼			评论 据说恶评能影响/伤害国产电影，太好了，我要参与伤害一下！老豆瓣er送上热忱的一星。
        ID：半辈子			评论 看了，是不好，我是真人。
        ID：杨威利红茶			评论 后面政府还要批评大家不努力生二胎导致劳动力成本上涨
        ID：猫语猫寻			评论 除了浪费钱，我想不出别的评价了。张导还想拍续集和星球大战比？这自信心也是很饕餮了。张导的水平算是逆生长了，年轻的时候拍的都是很成熟的电影，这老了拍出来的都是和大学生突然暴富拍出来的似的，我尊重张导的梦想，也祝福能有实现一天，但学拍好莱坞烂片这种事还是不要花太多钱了，看着心疼。
        ID：种瓜得瓜			评论 幸好景甜没玩文学。可她为嘛不玩文学呢？当个主席，主持一次文代会什么的，不更过瘾么
        ID：yangbin			评论 哎呦我操，电影局你不是挺牛逼的吗，还不让人说国产电影烂了，本来之前打的三星，可他妈我还就改一星了怎么着？？
        ID：birds			评论 谁料老谋子栽进乐视手里，艺术前景更为堪忧。老外负责贡献剧本，负责输出英雄主义。中国则往下倾倒一打打的傻逼献义军团，利用那个使出了浑身懈力填塞中国元素的悲凉老导演。看了预告片就猜出它会是像《爵迹》般群星荟萃的人兽大战姊妹篇，一样的令人反胃。图个怀念，这次没有失望，是绝望，张导再见~
        ID：taoxinxu释凡			评论 炫技爆米花，蜥蜴饕餮密麻突袭城墙爬宝塔，漫天孔明灯默哀，热气球闯进沦陷汴梁城。张艺谋剧本粗枝大叶:马特盗贼变救世主没说服力，他哥们逗逼话痨抢戏，华哥、景甜狂耍酷，鹿晗自爆不悲壮，皇帝是孬种掏粪，突厥匪徒炸死无语，小怪兽回兽王阵地当诱饵炸弹等箭射，放低期待当古装《独立日2》瞧热闹吧
        ID：猪老三			评论 还没看，也可能不会看，预先打一星
        ID：SELVEN			评论 58/100 国师说拍长城是因为这样的电影才能代表一个国家电影工业水平，但这片子不是有传奇和环球吗…倒是从意识形态上看，长城更像是王健林们的心声：美国人，我们和你们没什么不同，大家一起赚钱啦。至于内容，中国已经在奥运会上证明自己团体操的实力了，用不着专门拍一部电影再次证明了吧。
        ID：锡兵			评论 如果60岁退休，小甜甜还有四年红，忍一忍就过去了。
        ID：安蓝·怪伯爵			评论 除了呆萌不知道有什么理由去看这么深井冰的片。海南人民啊（当然也许是外地游客）看见鹿晗被彭于晏推了一把整个厅都炸裂了！一票人大喊：轻点儿行吗！看见掏粪（才不想知道是谁）旁边大妹子激动得好悬没蹦起来！我去…真有病！更有病是我竟然裸眼看完了这部3D片儿…一定是晚上文昌鸡吃多了！@三亚万科
        ID：韩影书			评论 无论如何，爱也罢，恨也罢，张艺谋每次有大制作上映，影院都像在过节；无论如何，骂过的赞过的，下一次还会忍不住去看。和宣传无关，和卡司无关，中国，只有一个持续现象级的张艺谋……
        ID：匡匡			评论 好莱坞编剧又怎样？好莱坞编剧就一定写的是好莱坞制式和水准之内的东西？再高手的好莱坞编剧也是乙方，也架不住下 brief 的是你国甲方。 木桶理论决定了，创作在资方意志的裹挟之下，永远是取一个中间值，甚至，最低值。
        ID：安安安先生			评论 烂片还不能让人说了？
        ID：法兰西胶片			评论 两星半。这要再治不好文革后遗症那就没天理了。
        ID：中五百万就辞职			评论 一言难尽，唯一有演技的张涵予一开场就挂了…
        ID：Pukii			评论 挺好看的。前半部，我觉得看到了中国人拍出指环王的可能性。
        ID：鎮長			评论 海峽兩岸共襄盛舉
        ID：雪糕克里斯			评论 听说被点名批评不许差评？
        ID：远子			评论 所以即使是张艺谋，也是需要去好莱坞镀金的，可他不是已经金光闪闪了吗……
        ID：肥嘟嘟左卫门			评论 过了秋菊的土包子瘾，英雄的团体操瘾，黄金甲的大红大绿瘾，三瘾合一，张导终于卸下心理包袱，在《印象·饕餮》享受了三重高潮，做了一回自己，终成一代违和感大师，人家不在乎你们骂。四大谜团：马特达蒙跳下城墙为何不带磁石？鹿晗为何在厨房也戴着头盔？TF皇帝死了吗？戏里戏外景甜究竟都什么来历？
        ID：二道贩子			评论 国师现在只爱拍大场面了，伤心；演员的排位和角色存活时间成正比；表白我呆萌，发型真帅；谢天谢地，呆萌和景甜没有接吻！
        ID：hamming			评论 坚决给差评
        ID：大兔基			评论 不开心打一星。世界本来就没有公平，嘤嘤嘤
        ID：河狸			评论 本片可以叫《进击的饕餮》或《权力的游戏之饕餮将至》。场面宏大，特效出色，演员阵容强大，演技基本都维持在各自的水平。剧情方面太过简单，背景设定更是苍白，不过因为有美国编剧的缘故，所以美式笑点还算挺多的。总体来说，花八块八看看特效还是蛮不错的。
        ID：人类救星川普京			评论 态度很重要
        ID：托尼·王大拿			评论 二话不说就是干，这剧本是吉尔罗伊给谍5练手写着玩的吧？一方面，尽管张艺谋的艺术触觉每况愈下基本瘫痪，但对大场面调度的把控依旧有水准，在好莱坞顶级工业体系助力下更如虎添翼；另一方面，某些遭人诟病的景姓鹿姓等演员在与好莱坞顶级演员的直接对比中就显得更加不忍直视。
        ID：SILENCE_			评论 挺欣慰中国电影能达到这样的工业水准，但我们想看一电影，您给表演了个节目。
        ID：帝归			评论 从五星改到一星（笑
        ID：Santripcorp			评论 没看过，我帮个忙。
        ID：SingLesinger			评论 Dafoe爷爷都说了，be careful of her, she is very powerful，你们还瞎逼逼瞎琢磨，是想被送去喂饕餮吗。
        ID：camus			评论 不能更多
        ID：Morning			评论 张艺谋在英雄、十面埋伏甚至是黄金甲时的问题已经解决了，他仍旧在迷恋仪式美，和看上去没什么意义的碍眼色彩，不过好的班底执行力更优。剧本核是扎实的，不会太漏风，反派也设置够强，但最差是群戏（堂审好），以明星个性论，有角色丢失，景甜是可以被取代，但自身表演没问题，好于三将。节奏是好的。
        ID：洛之秋			评论 就是这么血性....顺便送豆瓣一程...
        ID：王斯王			评论 用钱砸出来的电影，『长』讨巧在沿用西方魔幻视效上添置了国师的文化元素，不太违和。在其他各个层面，剧本、台词、表演等非视觉语言上的东西，无可指摘的烂。“有钱真好”。想请谁请谁，谁红请谁，想做什么视效做什么视效。悲哀的是，这种暴发户项的粉丝情结电影，指准盆满钵满，这就很气(奇)了。
        ID：Vamei			评论 啧，我是机器人。
        ID：居士的草图纸			评论 保持队形
        
